"referenceCode","legacyId","parentId","qubitParentSlug","identifier","accessionNumber","title","levelOfDescription","extentAndMedium","repository","archivalHistory","acquisition","scopeAndContent","appraisal","accruals","arrangement","accessConditions","reproductionConditions","language","script","languageNote","physicalCharacteristics","findingAids","locationOfOriginals","locationOfCopies","relatedUnitsOfDescription","publicationNote","digitalObjectURI","digitalObjectChecksum","generalNote","subjectAccessPoints","placeAccessPoints","nameAccessPoints","genreAccessPoints","descriptionIdentifier","institutionIdentifier","rules","descriptionStatus","levelOfDetail","revisionHistory","languageOfDescription","scriptOfDescription","sources","archivistNote","publicationStatus","physicalObjectName","physicalObjectLocation","physicalObjectType","alternativeIdentifiers","alternativeIdentifierLabels","eventDates","eventTypes","eventStartDates","eventEndDates","eventDescriptions","eventActors","eventActorHistories","eventPlaces","culture"
"SeknegRi",121299,,,,,"Sekretariat Negara Republik Indonesia 1945-1949","Fonds",,"Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,"Inventaris Arsip Sekretariat Negara Republik Indonesia Tahun 1945-1949",,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"764",,121507,,"764",,"Menteri Kesehatan a.i. kepada Presiden: Surat tgl. 2 November 1949 tentang permohonan izin bagi semi-artsen dan Doctorandi dari Perguruan Tinggi Kodekteran untuk dapat menjalankan pekerjaan di lapangan kedokteran di bawah pengawasan dokter disebabkan kurangnya tenaga dokter, disertai lampiran.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"765",,121507,,"765",,"Surat-surat tgl. 1 Agustus 1949-7 November 1949 tentang pemberian sokongan untuk korban musibah.","Item","13 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Tembusan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"766",,121507,,"766",,"Surat-surat tgl. 17 Agustus 1949-30 November 1949 tentang sumbangan untuk pembangunan RI.","Item","11 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Tembusan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"767",,121507,,"767",,"Gabungan Patriot Indonesia (GPI) cabang Surakarta kepada Presiden: Surat-surat tgl. Desember 1949 tentang masalah kesejahteraan buruh.","Item","5 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
,121508,121500,,,,"H. INDUSTRI DAN PERDAGANGAN","File",,"Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"768",,121508,,"768",,"Rancangan Undang-undang tanpa nomor tahun 1948 tentang penyesuaian harga padi yang dipergunakan sebagai dasar untuk penetapan pajak bumi dengan keadaan baru, disertai penjelasannya.","Item","4 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,"N.B. Penjelasan tidak lengkap","Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"769",,121508,,"769",,"Undang-undang tanpa nomor tahun 1948 tentang perusahaan-perusahaan negara.","Item","5 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"770",,121508,,"770",,"Undang-undang No. 29 tgl. 3 September 1949 tentang penimbunan barang penting.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"771",,121508,,"771",,"Pemerintah RI Jogjakarta: Peraturan tanpa nomor tahun 1946 tentang perusahaan tambang.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"772",,121508,,"772",,"Pemerintah RI Jogjakarta: Peraturan No. 3 tgl. 21 Mei 1946 tentang perusahaan gula.","Item","5 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"773",,121508,,"773",,"Pemerintah RI Jogjakarta: Peraturan No. 4 tgl. 6 Juni 1946 tetang perusahaan perkebunan, disertai penjelasannya.","Item","7 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"774",,121508,,"774",,"Pemerintah RI Jogjakarta: Rencana peraturan tanpa nomor tahun 1948 tentang pencegahan kenaikan harga bahan-bahan keperluan sehari-hari.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"775",,121508,,"775",,"Wakil Sekretaris Negara kepada Wakil Presiden: Surat tgl. 15 Maret 1948 tentang permohonan persetujuan rencana peraturan pemerintah mengenai Kantor Urusan Perusahaan Perkebunan RI, disertai lampiran.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Pertinggal",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"776",,121508,,"776",,"Pemerintah RI Jogjakarta: Peraturan No. 13 tgl. 12 Juni 1948 tentang jaminan tersedianya tanah-tanah oleh kelurahan-kelurahan guna perusahaan-perusahaan pertanian dalam Daerah Istimewa Jogjakarta dan Karesidenan Surakarta.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Stensilan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"777",,121508,,"777",,"Pemerintah RI Jogjakarta: Peraturan No. 20 tgl. 3 September 1948 tentang syarat-syarat untuk mendapat izin menimbun barang-barang penting bagi pedagang, disertai penjelasannya.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Stensilan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"778",,121508,,"778",,"Pemerintah RI Jogjakarta: Peraturan No. 46 tgl. 9 Oktober 1948 tentang larangan terhadap penyimpanan minyak bensin.","Item","5 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"779",,121508,,"779",,"Pemerintah RI Jogjakarta: Peraturan No. 54 tgl. 28 Oktober 1948 tentang pembatasan harga barang-barang.","Item","14 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep, stensilan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"780",,121508,,"780",,"Pemerintah RI Jogjakarta: Peraturan-peraturan tgl. 9 November 1948 tentang pembatasan pengeluaran bahan makanan ternak.","Item","12 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"781",,121508,,"781",,"Pemerintah RI Jogjakarta: Peraturan-peraturan tgl. 9 November 1948 tentang militerisasi perusahaan-perusahaan.","Item","18 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"782",,121508,,"782",,"Pemerintah RI Jogjakarta: Peraturan No. 68 tgl. 18 November 1948 tentang perubahan pasal 3 ayat 2 dan pasal 6 dari Undang-undang No. 29 tahun 1948 mengenai penimbunan barang penting.","Item","7 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep, stensilan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"783",,121508,,"783",,"Wakil Perdana Menteri RI: Peraturan Pengganti Peraturan Pemerintah tgl. 22 Oktober 1949 tentang penjualan barang-barang impor yang ada di bawah pengawasan pemerintah di Sumatera Utara.","Item","4 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"784",,121508,,"784",,"Pemerintah RI Jogjakarta: Penetapan No. 1/OEM tgl. 18 April 1946 tentang penempatan semua perusahaan percetakan di kota Solo berada di bawah pengawasan pemerintah.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan, duplikat",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"785",,121508,,"785",,"Menteri Kemakmuran: Peraturan No. 9 tgl. 6 Desember 1946 tentang penentuan barang-barang penting.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"786",,121508,,"786",,"Menteri Pembangunan dan Pemuda: Surat Keputusan No. 2643/I tgl. 24 Mei 1948 tentang pembentukan jawatan pembangun perusahaan, disertai lampiran dan surat pengantar.","Item","9 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"787",,121508,,"787",,"Menteri Muda Kemakmuran: Surat Keputusan No. 1703/T.O/Jo tgl. 29 Desember 1947 tentang pembentukan Kantor Penjualan Gula (KPG) yang dikuasai oleh BPPGM.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Stensilan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"788",,121508,,"788",,"Menteri Keuangan: Maklumat No. 2 tgl. 13 Februari 1947 tentang penetapan harga garam dan candu.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"789",,121508,,"789",,"Kepala Pejabat Bea da Cukai: Penetapan No. TT.1/2/3b tgl. 16 Juli 1948 tentang harga rokok.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"790",,121508,,"790",,"Kepala Jawatan Persediaan dan Pembagian Bahan Makanan: Surat Keputusan tahun 1948 tentang peraturan pemberian uang muka dan pembayaran harga bahan makanan, disertai penjelasannya.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"791",,121508,,"791",,"Skema dan daftar mengenai perdagangan beras di Jawa.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,"N.B.: Kertas rusak dan tanpa tanggal.","Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"792",,121508,,"792",,"Badan Tekstil Negara: Grafik, skema, dan daftar Badan Tekstil Negara.","Item","16 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,"N.B.: Tanpa tanggal","Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"793",,121508,,"793",,"Preambule tentang maksud dan kedudukan American Indonesian Corporation dalam pemerintahan, disertai struktur organisasinya.","Item","4 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,"N.B.: Tanpa tanggal","Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"794",,121508,,"794",,"Soedarsono kepada Presiden: Telegram mengenai kegiatan ekspor dan impor setelah merdeka.","Item","1 eksemplar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Stensilan",,,,,,,,,,,,,,"N.B.: Tanpa tanggal dan dalam bahasa Inggris","Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"795",,121508,,"795",,"Laporan tgl. 17 Agustus 1946 tentang keadaan perekonomian negara.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Stensilan",,,,,,,,,,,,,,"N.B.: Tidak lengkap","Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"796",,121508,,"796",,"Presiden kepada Jenderal Mayor Soedibjo: Surat tgl. 20 Desember 1946 tentang pengiriman 800 ton gula pasir luar negeri tidak dengan izin Dewan Pertahanan Negara.","Item","15 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"797",,121508,,"797",,"Daerah XIX: Laporan-laporan tgl. 31 Desember 1946 tentang peredaran ORI dan keadaan harga-harga barang di pasaran daerah Malang.","Item","4 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"798",,121508,,"798",,"Dr. Soemitro Djojohadikusumo: Laporan tgl. 29 September 1947 tentang perdagangan Amerika Serikat.","Item","8 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"799",,121508,,"799",,"Suryocondro kepada Setneg: Telegram tgl. 5 Maret 1948 tentang perundingan dengan India mengenai padi.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"800",,121508,,"800",,"Telegram-telegram tgl. 4 Maret 1948 dan 6 Maret 1948 tentang kedatangan Oetiongih dan Yapcieling ke Jogja meninjau perusahaannya.","Item","3 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Pertinggal",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"801",,121508,,"801",,"Setneg kepada Suryocondro: Telegram tgl. 7 Maret 1948 tentang perundingan soal gula untuk bantuan.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Pertinggal",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"802",,121508,,"802",,"Setneg kepada Suryocondro: Telegram No. 474/K-48 tgl. 23 Maret 1948 tentang pengusulan anggota-anggota Panitia Pengembalian Milik Asing.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"803",,121508,,"803",,"Sarekat Buruh Percetakan Indonesia (SBPI): Mosi tgl. 24 April 1948 tentang menasionalisasi percetakan milik bangsa asing.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"804",,121508,,"804",,"Ir. Juanda kepada Setneg: Telegram No. 656/S/del tgl. 17 Juni 1948 tentang permohonan untuk dapat datang ke Jogja Sostrorawito untuk kepentingan penukaran gula.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Tembusan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"805",,121508,,"805",,"Mochtar kepada Setneg: Telegram tgl. 28 Juni 1948 tentang perundingan perdagangan.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,"N.B.: Dalam bahasa Inggris","Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"806",,121508,,"806",,"Setneg dengan Perusahaan Tambang Minyak Daerah Jawa Tengah Surakarta: Surat-menyurat tgl. 3 Agustus 1948 dan 16 Agustus 1948 tentang permohonan izin membeli parafine dan minyak tanah dari Kantor Pusat Minyak di Jogjakarta.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli, pertinggal",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"807",,121508,,"807",,"Komisi Orientasi Perekonomian kepada Gubernur Jawa Tengah dan Timur, Kepala Jawatan-Jawatan Pusat, Kepala Jawatan-Jawatan Daerah: Surat tgl. 11 September 1948 tentang rencana penyelenggaraan peninjuan perekonomian.","Item",,"Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,"Fisik arsip tidak ada","Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"808",,121508,,"808",,"Telegram-telegram tgl. 19 Mei 1948-15 Oktober 1948 tentang perdagangan dengan luar negeri.","Item","6 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"809",,121508,,"809",,"Lubeck, Roeckstr, 52 a British Zone/Germany Deutsland kepada Kementerian Kemakmuran: Surat tgl. 9 Juli 1949 tentang kerja sama dalam bidang industri, perkayuan, dan timah.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,"N.B.: Dalam bahasa Inggris","Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"810",,121508,,"810",,"Lie eng Hok kepada Presiden RI di Semarang: Surat tgl. 15 Agustus 1949 tentang permohonan membuka cabang Toko Malta di Jogjakarta.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"811",,121508,,"811",,"Kantor Technik Djasa Baik di Jakarta kepada Sekretaris Kementerian Pekerjaan Umum dan Pembangunan di Jogja: Surat tgl. 24 Agustus 1949 tentang keinginan memasukkan barang-barang teknik dan mengerjakan ke Jogja, disertai lampiran.","Item","4 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Tembusan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"812",,121508,,"812",,"Direktur Percetakan Advertantie dan Reclame Bureau Hidangan Rochani di Jakarta kepada Setneg: Surat tgl. 14 November 1949 tentang permohonan pengakuan untuk percetakan Adv. Dan Reclame Bureau Hidangan Rochani.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"813",,121508,,"813",,"Ketua Umum K.V. Sibualbuali di Jogja kepada Palar, Wakil RI di PBB: Surat tgl. 17 November 1949 tentang permohonan diberi kuasa untuk bertanggungjawab menyiapkan alat-alat tulis untuk sekolah-sekolah rakyat di seluruh Indonesia.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Tembusan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
,121509,121500,,,,"I. HUBUNGAN INDONESIA-BELANDA","File",,"Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"814",,121509,,"814",,"Undang-undang No. 10 tgl. 14 Desember 1949 tentang pengesahan induk persetujuan bersama-sama rancangan persetujuan dan segala pertukaran surat-menyurat mengenai penyerahan kedaulatan oleh Kerajaan Nederland kepada RIS.","Item","5 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Stensilan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"815",,121509,,"815",,"Presiden Panglima Tertinggi Angkatan Perang: Penetapan No. 2/R tgl. 27 Oktober 1947 tentang pembentukan panitia penerimaan anggota Komisi Tiga Negara, disertai surat pengantar.","Item","4 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"816",,121509,,"816",,"Presiden RI: Penetapan No. 14 tgl. 12 November 1947 tentang pembentukan panitia istimewa guna pelaksanaan perintah penghentian permusuhan dari Dewan Keamanan dan pengangkatan sebagai anggota panitia istimewa tersebut.","Item","6 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"817",,121509,,"817",,"Presiden RI: Penetapan-penetapan tgl. 29 April-2 Desember 1947 tentang pembubaran delegasi Indonesia dan pembentukan delegasi Indonesia baru.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"818",,121509,,"818",,"Presiden RI: Penetapan-penetapan No. 2, No. 6 tgl. 2 dan 5 Februari 1948 tentang pemberhentian dengan hormat dan pengangkatan ketua, wakil ketua, anggota, dan anggota cadangan delegasi Indonesia.","Item","5 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"819",,121509,,"819",,"Presiden RI: Penetapan-penetapan No. 1/R, No. 5, No. 10 tgl. 21 Maret 1947-3 Maret 1948 tentang pembentukan panitia penerimaan Goodwill Mission Negara Indonesia Timur.","Item","5 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"820",,121509,,"820",,"Presiden RI: Penetapan No. 19 tgl. 14 September 1948 tentang penghasilan ketua, wakil ketua, dan para anggota delegasi Republik Indonesia.","Item","3 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"821",,121509,,"821",,"Presiden RI: Penetapan No. 20 tgl. September 1948 tentang pemberian kuasa kepada ketua delegasi RI untuk mengangkat dan memberhentikan pegawai-pegawai negeri pada Sekretariat Delegasi RI, pengangkatan dan pemberhentian Dirjen Delegasi RI dilakukan oleh presiden.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"822",,121509,,"822",,"Presiden RI: Penetapan tgl. 1 Mei 1949 tentang pemberian tugas kekuasaan kepada Menteri Negara Koordinator Keamanan Hamengku Buwono IX untuk menerima kembali kekuasaan sepenuhnya baik sipil dan militer atas DI Jogjakarta dari tangan Belanda dan pengembalian pemerintah RI di Jogjakarta.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"823",,121509,,"823",,"Presiden RI: Surat Keputusan No. 62/P.Civ./48 tgl. 14 Juli 1948 tentang pembubaran delegasi Indonesia untuk konperensi di Havana.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"824",,121509,,"824",,"Presiden RI: Surat Keputusan No. 5/A./49 tgl. 30 Juli 1949 tentang pengangkatan Mr. Tan Po Goan sebagai ahli dari delegasi RI ke Konperensi Meja Bundar.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"825",,121509,,"825",,"Presiden RI: Surat-surat keputusan tgl. 25 Juli-15 November 1949 tentang pengangkatan ketua, anggota, penasehat umum, dan sekretaris delegasi Indonesia.","Item","8 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
